depot,truck,timestamp,speed,distance,socpercent,chargingstatus,ignitionstatus,energytype,accumulatedkwh
Performance Team (Commerce),VNR 1,2023-09-11 13:38:59+00,4.9720323182100685,0.5510669152682827,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:38:59+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:38:59+00,NULL,NULL,NULL,NULL,1,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:40:22+00,3.107520198881293,0.093139286,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:40:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:40:22+00,NULL,NULL,NULL,NULL,1,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:43:22+00,29.83219390926041,0.8234928527035426,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:43:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:46:22+00,31.696706028589187,1.538222498,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:46:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:49:22+00,0,0.7924176507147297,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:49:22+00,NULL,NULL,100,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:52:22+00,52.827843380981975,1.3206960845245495,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:52:22+00,NULL,NULL,99,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:55:22+00,26.10316967060286,1.9732753262896212,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:55:22+00,NULL,NULL,98,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:58:22+00,0,0.6525792417650715,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 13:58:22+00,NULL,NULL,98,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:01:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:01:22+00,NULL,NULL,98,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:04:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:04:22+00,NULL,NULL,98,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:07:22+00,55.93536357986327,1.3983840894965818,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:07:22+00,NULL,NULL,98,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:10:22+00,9.944064636420137,1.646985705407085,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:10:22+00,NULL,NULL,97,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:13:22+00,29.83219390926041,0.9944064636420138,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:13:22+00,NULL,NULL,97,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:16:22+00,22.995649471721567,1.3206960845245495,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:16:22+00,NULL,NULL,97,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:19:22+00,31.07520198881293,1.3517712865133626,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:19:22+00,NULL,NULL,96,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:19:22+00,NULL,NULL,NULL,NULL,NULL,driving_energy,241.62
Performance Team (Commerce),VNR 1,2023-09-11 14:19:22+00,NULL,NULL,NULL,NULL,NULL,energy_from_dc_charger,25453
Performance Team (Commerce),VNR 1,2023-09-11 14:19:22+00,NULL,NULL,NULL,NULL,NULL,energy_regen,38.2
Performance Team (Commerce),VNR 1,2023-09-11 14:19:22+00,NULL,NULL,NULL,NULL,NULL,idle_energy,15.73
Performance Team (Commerce),VNR 1,2023-09-11 14:22:22+00,41.019266625233065,1.802361715,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:22:22+00,NULL,NULL,96,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:25:22+00,14.294592914853947,1.3828464885021754,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:25:22+00,NULL,NULL,96,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:28:22+00,16.159105034182723,0.7613424487259168,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:28:22+00,NULL,NULL,95,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:31:22+00,11.187072715972654,0.6836544437538845,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:31:22+00,NULL,NULL,95,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:34:22+00,0,0.27967681789931637,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:34:22+00,NULL,NULL,95,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:37:22+00,8.079552517091361,0.20198881292728404,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:37:22+00,NULL,NULL,95,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:38:54+00,0,0.10323872660727851,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:38:54+00,NULL,NULL,95,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:40:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:40:22+00,NULL,NULL,95,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:43:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:43:22+00,NULL,NULL,95,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:46:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:46:22+00,NULL,NULL,95,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:49:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:49:22+00,NULL,NULL,95,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:52:22+00,0,0,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:52:22+00,NULL,NULL,95,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:54:02+00,4.9720323182100685,0.069056004,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:54:02+00,NULL,NULL,95,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:55:22+00,6.836544437538844,0.13120640839721015,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:55:22+00,NULL,NULL,94,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:56:41+00,0,0.075012085,NULL,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:56:41+00,NULL,NULL,94,NULL,NULL,NULL,NULL
Performance Team (Commerce),VNR 1,2023-09-11 14:58:22+00,0,0,NULL,NULL,NULL,NULL,NULL
